worker;assignment;img;sentiment;in_out_door;age;gs;eco;edu;opt1;neg1;opt2;comments;reasons
group1;group1_form22;1wMxVk4m8ugTbjc6vAzzk42XU9fvxYrex;0;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
group1;group1_form22;1plpa-6A0igoXKg2y50yckJ30YBNviKCr;1;1;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
group1;group1_form22;1BzTnY48b_S_lInVrJEMJmPSVrPOJUECB;1;1;1;2;1;2;3;3;2;;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form22;1FXVTJCsA9cDtXiKEYr5cgapIFnojzhmz;1;2;1;2;1;2;3;3;2;;0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
group1;group1_form22;1L5P6FInhgztFcNSikVVcft2w2FgnpQzT;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form22;1RjSK3mke_uFkTCrto7BALKNxTVJBv1Mg;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form22;1SaoxF5PRtT5NGEi-yczZX2tcpdmSBh7S;0;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form22;1WB1aGpuS2BLc06OOJnuvPKV-uYuB-FtQ;1;2;1;2;1;2;3;3;2;;0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form22;1Vdjpt8DhTwYIQtQMMWTlTBMUq2bk3Uk9;1;2;1;2;1;2;3;3;2;;0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
group1;group1_form22;1qnUaro7qZtzvhSdvayWT414MzB5DCLFB;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
group0;group0_form8;1AnkEJu9soUQYEb_-ECxTXIH8VfFHftM9;0;2;1;2;2;2;2;5;2;;0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
group0;group0_form8;1xHAkN58yRkw9y-sg7pROO7-bUPDtGlIt;1;2;1;2;2;2;2;5;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
group0;group0_form8;1qg7aRD8FP2QaC4NysBy5McJshDCjXwX-;1;2;1;2;2;2;2;5;2;;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
group0;group0_form8;1IkxjHTjjkvfH7eYF736afGFAk07Tx4jV;1;2;1;2;2;2;2;5;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
group0;group0_form8;1UM5ekDKLHb8FQgyJAwe-CHrR9bCBgkxV;1;2;1;2;2;2;2;5;2;;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group0;group0_form8;1vhOCe7pMEdIPrYjUazmtzLZRHPnIQrAm;1;2;1;2;2;2;2;5;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
group0;group0_form8;1cLZ5kjgR_G_KMnjh43fKxgpMV24VSGlB;0;2;1;2;2;2;2;5;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group0;group0_form8;1aozvdjGPxJ1tO665CPr9elvVQRRjsMrR;1;1;1;2;2;2;2;5;2;;0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group0;group0_form8;1zVxeI0Hf4I4jac9MVbcCQbCWbfbJhuDH;0;2;1;2;2;2;2;5;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group0;group0_form8;1G1EgSKOYQiVvU3SwSMIuhJFQAQBoOnxG;1;2;1;2;2;2;2;5;2;;0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
group0;group0_form0;1F1ykLOebQfQC_bjCsA3K8rgIf35EB7Wp;0;2;1;2;2;2;2;5;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
group0;group0_form0;1nZ-TbMNFDn5pOXaTw7rMEXfwrNrwrXRg;1;2;1;2;2;2;2;5;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
group0;group0_form0;1SC47N0wnZbl9QRgbSi24-Tchgf0EF31y;1;2;1;2;2;2;2;5;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
group0;group0_form0;1up9jxUx9pBpzPIS_LQR3KKgoLlu-Wnh0;1;2;1;2;2;2;2;5;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
group0;group0_form0;1r9QizHeynRYI5aghhbjka9wSDVYIjHkH;0;2;1;2;2;2;2;5;2;Scenario illustrates environment with noise pollution;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group0;group0_form0;1__BMOKFtV0FLfM31aw4ECII-uqy79eRs;1;2;1;2;2;2;2;5;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
group0;group0_form0;1Wre21TTWdebTuPYs8aa_Uan59qJfJ4AJ;0;2;1;2;2;2;2;5;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
group0;group0_form0;17Ew7ushpuJ-6761qyeFiYlBWIcN5Xk7R;1;2;1;2;2;2;2;5;2;Technology;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group0;group0_form0;1ycrvO94Bop9XBbAup4JdKte7uq1HYh6H;0;2;1;2;2;2;2;5;2;;0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
group0;group0_form0;1QHxnFghvEN57YDpQJw9JuGKukD4eNBoh;1;2;1;2;2;2;2;5;2;;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form6;1W_iQnzkS3xtf-MkWoLbfVJaBLPpShAL4;1;2;1;2;1;2;3;3;2;;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form6;1pZPIOKvAzKJf7xcfueA3evC01a-MCUx2;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
group1;group1_form6;1l7JTgUXzzT2DQRFOl3H5xf8s_lqpuqxI;1;2;1;2;1;2;3;3;2;;0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
group1;group1_form6;18eIRkM5MZbIqm_yz4LT1wz6l-xBTEw0A;1;2;1;2;1;2;3;3;2;;0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form6;1ALtVerfa8ubuwHb0k1qX8N9WiZpp3TvA;0;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form6;14el8KUuFhOwtIMVa_peSsDOTavO9BVri;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
group1;group1_form6;1UriCbiFxwrdU1u7L0Cn3GodB-sHGTX9p;1;2;1;2;1;2;3;3;2;;0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form6;1UIMHEbpJy2ODMRBIbBtsY3Zhm6B_BqTJ;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
group1;group1_form6;1u45Rd0nrEa0UM3vydmJTtkY05PjahxH-;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
group1;group1_form6;1t5VY7jD8v-0NKr-BX2iKd_fkhRrjG8gm;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form28;1UDBZugeS4R1vQiIo6vBHt6rb5UuVqxfg;1;2;1;2;1;2;3;3;2;;0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form28;1qDF3tPUHsfOYU-Kf17_XGWAvW-WHZNQC;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form28;1kgUksG9Ih9CKeTKjrXjT9oQDnnf55aZX;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form28;11pM6f9bl2RK9VLqJtAKVXcEpTdxpKm-6;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
group1;group1_form28;1wyz6U3p8nWLw5kd12PzONIfp1wXVt6Y7;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form28;1ecEuDllQtRgnlRX5PmxTjk9KRgzgKMPE;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form28;1DJrAE6TS8ihZCx4-af6hgNtmAJpYNAEQ;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form28;1xeaV6rsCaG8Isx2u7OGUmscMebQ0Y4bU;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form28;1VmqPhxlFZJp50XAy3BSolvRQofZs1FfH;1;2;1;2;1;2;3;3;2;;0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
group1;group1_form28;1z3VQCdc_VdBhuKqCJQ_peSbNVXjx6DhF;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form0;1F1ykLOebQfQC_bjCsA3K8rgIf35EB7Wp;0;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
group1;group1_form0;1nZ-TbMNFDn5pOXaTw7rMEXfwrNrwrXRg;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form0;1SC47N0wnZbl9QRgbSi24-Tchgf0EF31y;1;2;1;2;1;2;3;3;2;;0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
group1;group1_form0;1up9jxUx9pBpzPIS_LQR3KKgoLlu-Wnh0;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form0;1r9QizHeynRYI5aghhbjka9wSDVYIjHkH;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form0;1__BMOKFtV0FLfM31aw4ECII-uqy79eRs;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
group1;group1_form0;1Wre21TTWdebTuPYs8aa_Uan59qJfJ4AJ;1;2;1;2;1;2;3;3;2;;0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form0;17Ew7ushpuJ-6761qyeFiYlBWIcN5Xk7R;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form0;1ycrvO94Bop9XBbAup4JdKte7uq1HYh6H;1;2;1;2;1;2;3;3;2;;0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form0;1QHxnFghvEN57YDpQJw9JuGKukD4eNBoh;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form3;1A5A87Pn7PAuIVvurT5_PovK2J4lscm4A;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form3;1F_eCAUksJnct8D-s9MWKtbbytWOTz1SU;1;1;1;2;1;2;3;3;2;;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form3;1nyhlaTBuaJy7Yh1pY4ubgbQd9qtWHxd4;1;2;1;2;1;2;3;3;2;;0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form3;1UtF12AMQLsSBpqRAkDn5cPhLrTsPd36H;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
group1;group1_form3;1eqr3CAjCBxmDpNgWj45PYEqtqKgDluR4;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
group1;group1_form3;1uD520Pycr1KItaeGBGe3MtMxcJEPFnmj;0;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
group1;group1_form3;1KqZdc-G46KUfQ5c-yO4OqrlrhyBaMbz1;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form3;1mM7YaIJhTUBIyK0nsy9xZl8Y92OLp16b;1;2;1;2;1;2;3;3;2;;0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form3;1jX4os4KkW992XReR2euZWj8trXMdKDqn;1;2;1;2;1;2;3;3;2;;0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form3;1sfTExV6JpjUdaxS57cY4sP0JDTwXhuci;1;2;1;2;1;2;3;3;2;;0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form24;185nSun-V1j8QHGE8dtNoxGPBMo7a0Y5t;1;2;1;2;1;2;3;3;2;;0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form24;1znBoTGyiFO9wx-DmlT3FsAUxTrxhpfCL;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
group1;group1_form24;1qcA3x-pftlLd34jF1YlacE5uXI-bMpQI;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
group1;group1_form24;1UtewQ7Q8iZnMRiTebYGmzAuEhp2BcaJL;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form24;1pq8lYCnGHD4S-kbxPzwaYL38XCiwYY4G;1;2;1;2;1;2;3;3;2;;0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
group1;group1_form24;1gG5knpDBm4rBPRXAQnhWjsIdrT6GlWt9;0;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
group1;group1_form24;1H4UkacatoPc3vNFLVptMEzfFuBY5uHZk;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form24;1mUyLNeLc2Bpq58M1ZcInBckEcJufLrXT;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
group1;group1_form24;1L5UhVLrsv6X7rTrgOt2OA6iXHU_W_8Lc;1;2;1;2;1;2;3;3;2;;0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group1;group1_form24;1lxH1uRxLgHO2pApUS9bDQ_ViWJXgrSva;1;2;1;2;1;2;3;3;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
group4;group4_form7;1korHDNPRr-_1ye7IrQaFf052GLgbLfL6;1;2;1;2;1;2;2;5;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
group4;group4_form7;1ftsmKofWjSgYcz2IHyAf3JF2jI5TkpGI;1;2;1;2;1;2;2;5;2;;0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
group4;group4_form7;1pn2xAnAulXBkeodAWoPsO5k1wuZq_QGJ;1;2;1;2;1;2;2;5;2;;0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group4;group4_form7;1f81KwSzrQdFQsVHrwy5MAXZjpVFeiMXX;1;2;1;2;1;2;2;5;2;;0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
group4;group4_form7;1Lf0z0nM1-DvDS8igNalm0oWlEz54LelM;1;1;1;2;1;2;2;5;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
group4;group4_form7;11asQrjkFlMsDeUvhcst8ddP4nz43rwzm;1;2;1;2;1;2;2;5;2;;0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group4;group4_form7;10AsOX6IZf7hnrylWgeo8LCk7oYtQHEmZ;1;2;1;2;1;2;2;5;2;;0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group4;group4_form7;13_hEETvSRDIs7zgcyKa_IJBWthRFrzcO;1;2;1;2;1;2;2;5;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
group4;group4_form7;1-1Nuj6SVmFz94Bv7t_br7Hw4INgAal3_;0;2;1;2;1;2;2;5;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group4;group4_form7;1UUpLAZ8JXqrxmWZzUAJLTpzoJ-H3rB36;1;2;1;2;1;2;2;5;2;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group11;group11_form28;1x-MTkEO32k1zbcpMjAc4XePVzyV0-Tv9;1;2;1;2;2;2;4;3;3;;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
group11;group11_form28;1nN8ikGRizDTC9iO4CG0sU8EJyMomf1pe;0;1;1;2;2;2;4;3;3;;0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group11;group11_form28;1tiviF5Vfq4Doy1zFVsozPubC2IEQUtKG;1;2;1;2;2;2;4;3;3;;0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
